@relation gesture


@attribute x1 numeric
@attribute y1 numeric
@attribute x2 numeric
@attribute y2 numeric
@attribute x3 numeric
@attribute y3 numeric
@attribute x4 numeric
@attribute y4 numeric
@attribute x5 numeric
@attribute y5 numeric
@attribute x6 numeric
@attribute y6 numeric
@attribute x7 numeric
@attribute y7 numeric
@attribute x8 numeric
@attribute y8 numeric
@attribute x9 numeric
@attribute y9 numeric
@attribute x10 numeric
@attribute y10 numeric
@attribute x11 numeric
@attribute y11 numeric
@attribute x12 numeric
@attribute y12 numeric
@attribute x13 numeric
@attribute y13 numeric
@attribute x14 numeric
@attribute y14 numeric
@attribute x15 numeric
@attribute y15 numeric
@attribute action {click, dbclick, drag}

@data
61.00,33.00,61.00,31.97,130.29,91.29,139.95,106.48,153.17,130.33,161.00,160.74,155.00,206.00,130.06,225.47,94.00,234.00,60.02,219.03,56.00,178.51,80.11,142.11,112.77,105.31,158.87,72.30,188.45,59.00,click
43.00,44.00,44.28,44.28,131.27,125.80,138.00,153.71,139.16,160.49,135.73,181.81,100.94,203.01,64.27,205.00,51.00,199.00,32.15,179.86,44.00,127.00,99.86,74.57,121.36,61.58,175.12,39.96,187.95,37.00,click
68.00,38.00,82.44,48.29,123.26,88.84,126.30,93.00,141.05,122.21,145.82,133.72,150.22,165.10,155.00,187.33,135.00,221.50,113.61,229.27,64.97,226.48,55.42,216.42,51.00,173.48,101.68,94.40,184.99,50.00,click
156.00,88.00,158.12,89.06,179.07,109.33,196.46,132.70,203.34,141.79,215.26,162.38,224.36,196.08,218.82,217.18,161.37,229.00,140.30,209.59,137.00,189.72,157.35,158.12,194.35,128.59,220.83,113.54,246.49,99.00,click
95.00,17.00,110.67,24.34,133.94,37.47,156.11,50.05,174.00,74.00,178.00,104.11,172.79,124.63,138.12,145.98,100.28,148.00,84.00,123.38,89.41,96.65,126.33,58.11,161.13,37.44,195.49,23.00,199.50,21.00,click
72.00,96.00,79.94,92.77,122.01,91.00,153.04,98.52,175.02,116.02,183.75,142.02,176.94,173.19,161.53,199.66,131.80,221.00,122.56,219.56,130.82,186.76,158.29,138.86,187.80,94.07,220.08,53.10,245.52,21.57,click
73.00,90.00,75.71,88.76,91.64,85.43,115.50,85.00,139.81,91.77,153.80,109.19,160.94,140.39,158.86,183.13,136.63,227.65,110.23,235.00,89.10,225.11,87.66,198.05,112.31,151.70,152.01,107.99,190.21,73.49,click
83.00,55.00,86.19,56.10,104.00,69.00,139.14,99.98,159.19,130.36,160.75,161.51,152.63,180.56,125.86,201.51,99.68,212.00,85.30,200.79,85.74,160.05,92.28,131.17,112.69,91.03,169.77,35.77,193.74,12.26,click
66.00,50.00,75.77,51.26,102.72,61.86,143.40,89.50,177.73,120.08,189.79,149.78,182.68,181.63,155.68,208.37,124.40,219.00,97.82,210.82,84.41,179.69,89.43,139.13,119.59,95.76,158.33,58.07,186.99,36.50,click
73.00,62.00,76.71,62.00,104.26,67.81,130.12,78.06,157.17,104.40,170.95,132.85,177.00,170.66,171.92,189.14,147.54,207.15,129.83,208.00,112.01,192.01,108.00,165.24,124.25,121.12,145.48,93.03,181.52,59.74,click
101.00,55.00,101.90,55.00,109.76,59.76,136.82,85.82,153.70,107.05,165.00,145.06,163.92,172.57,152.21,192.68,128.00,201.50,116.51,196.51,111.00,168.91,121.19,143.10,140.51,112.32,170.77,76.23,186.92,62.08,click
75.00,45.00,82.79,48.89,100.68,57.92,126.32,72.33,165.95,111.66,183.31,139.50,188.00,167.90,182.94,194.11,153.52,221.62,130.98,223.83,118.37,214.73,114.00,188.88,119.81,132.77,138.89,96.86,162.97,66.37,click
62.00,76.00,65.06,76.00,84.50,74.00,117.92,78.85,154.53,102.89,182.77,134.85,191.13,155.40,184.78,185.36,153.90,210.55,120.04,217.00,104.77,198.61,106.17,166.56,130.32,112.83,168.77,72.23,194.89,48.11,click
50.00,67.00,49.00,66.00,58.64,65.00,95.28,74.09,126.59,88.26,165.52,118.52,179.79,142.14,181.02,176.94,167.77,195.23,131.66,208.89,114.92,207.73,108.00,170.40,122.35,130.96,156.71,74.58,182.57,50.43,click
54.00,116.00,60.61,116.00,126.46,143.10,184.28,186.28,213.82,225.65,212.94,274.21,191.86,308.93,143.68,338.77,102.57,336.06,89.54,292.55,119.83,233.01,160.37,191.63,231.14,135.91,293.69,101.62,335.77,79.67,click
127.00,96.00,131.34,95.00,191.15,109.29,246.93,147.04,276.65,189.42,281.85,241.36,263.92,292.47,220.52,328.15,188.13,339.37,146.32,330.61,123.65,288.25,142.61,234.86,203.81,163.36,282.74,91.87,370.38,34.72,click
76.00,70.00,78.80,69.00,112.32,75.48,147.70,92.60,182.49,123.54,203.94,157.89,205.92,191.23,185.52,218.37,149.54,232.12,113.57,231.00,91.96,215.69,96.87,185.51,127.57,145.72,179.67,102.48,241.02,60.94,click
102.00,78.00,101.00,77.17,110.35,77.00,148.48,88.44,179.75,104.50,217.54,149.57,226.85,184.46,215.97,237.05,192.81,263.89,145.79,283.15,111.15,272.15,118.23,234.89,168.74,168.81,244.25,111.89,291.82,84.36,click
112.00,143.00,117.65,142.91,141.61,152.80,175.62,183.62,205.27,220.81,222.08,265.78,224.42,311.98,211.65,350.57,164.87,390.56,125.51,384.51,121.24,357.36,139.68,315.28,187.18,266.67,244.81,224.88,297.01,192.45,click
191.00,167.00,202.80,168.36,230.75,180.23,263.53,204.47,286.54,229.97,298.38,263.74,297.74,301.44,271.61,346.21,247.68,362.62,221.92,364.13,203.05,352.33,198.59,326.12,224.86,270.92,264.20,237.85,328.46,183.65,click
126.00,152.00,136.97,153.59,185.20,168.07,227.58,198.58,271.38,249.75,288.20,308.43,279.47,345.06,254.68,370.55,188.91,388.70,161.96,376.26,156.37,333.93,171.24,277.53,218.36,205.30,275.32,150.68,309.58,124.21,click
129.00,154.00,136.01,155.40,179.37,176.58,207.07,200.07,236.34,238.67,248.07,278.29,250.00,335.78,244.73,360.11,210.29,379.82,184.74,369.87,159.33,343.66,163.87,288.53,212.52,223.48,249.94,185.05,297.19,145.85,click
146.00,112.00,146.49,111.00,162.00,113.50,203.69,131.85,236.42,155.49,274.93,203.88,296.02,251.10,290.66,293.47,270.56,315.15,227.76,331.47,184.41,323.21,182.00,284.25,218.95,222.16,273.76,151.55,335.64,94.68,click
114.00,130.00,121.16,131.00,180.85,139.37,236.75,170.33,293.01,243.53,307.00,321.50,286.70,361.30,241.00,387.14,195.34,395.56,154.47,358.80,157.89,292.49,181.38,243.27,227.54,183.20,267.13,132.04,313.76,80.32,click
128.00,106.00,129.50,106.00,156.43,110.65,208.28,131.21,264.14,166.40,299.82,210.59,301.00,264.01,241.81,350.51,212.69,363.58,168.92,351.87,164.14,300.46,202.93,208.61,251.38,140.94,294.94,91.43,325.66,68.58,click
133.00,109.00,137.21,109.47,148.00,112.50,189.09,148.23,214.31,183.20,242.03,240.08,251.73,284.14,251.36,324.14,218.47,371.80,190.82,375.73,151.01,345.02,150.69,302.85,186.74,231.76,247.93,156.25,301.10,101.90,click
138.00,136.00,140.88,136.94,153.50,137.00,202.40,171.72,229.89,204.98,253.18,263.74,256.00,305.85,238.45,358.64,217.35,373.91,176.98,372.49,155.96,354.28,151.18,258.94,174.25,211.25,245.28,122.72,297.67,77.00,click
92.00,130.00,99.00,129.00,153.25,137.96,206.30,163.22,232.24,190.13,259.68,241.11,265.96,302.55,261.04,350.83,248.10,373.58,197.02,392.00,159.49,359.45,186.57,273.20,241.84,211.14,305.87,156.19,355.58,121.71,click
108.00,111.00,108.85,111.00,135.05,124.40,187.70,163.13,221.30,191.30,262.71,238.68,277.00,290.08,261.19,334.81,233.65,357.53,178.16,361.78,159.00,330.57,166.91,264.70,189.85,217.16,259.72,114.13,296.91,67.67,click
111.79,93.86,137.74,94.86,205.62,131.82,255.53,184.77,274.49,241.71,267.50,304.64,227.58,367.58,183.66,377.57,140.74,344.60,131.76,302.65,157.71,252.70,213.60,184.77,280.48,131.82,328.39,100.86,351.35,91.86,click
131.00,92.00,133.04,93.02,149.58,104.84,199.33,148.33,233.63,184.63,260.88,220.26,276.00,276.51,270.44,314.89,248.01,347.76,199.10,379.56,157.48,376.32,151.92,329.59,192.63,241.55,255.30,150.62,305.44,93.68,click
137.00,123.00,146.41,123.00,168.62,126.32,198.16,144.16,246.05,191.68,265.92,226.82,273.00,271.87,270.65,316.81,229.47,378.17,206.19,389.00,174.90,373.35,170.00,342.59,230.29,215.67,274.70,165.52,325.05,117.48,click
234.00,84.00,247.25,86.10,277.13,108.13,295.00,138.00,301.00,172.45,299.85,203.36,290.56,226.93,269.96,241.52,237.55,243.22,226.00,227.97,234.23,193.54,265.41,150.64,309.82,110.14,358.47,73.91,383.00,60.00,click
106.00,110.00,109.69,110.00,119.55,113.36,156.16,144.92,190.23,195.21,202.24,226.59,203.06,256.44,192.16,278.54,155.34,294.00,129.79,286.89,108.51,260.77,110.09,232.63,150.54,157.82,186.68,108.69,205.82,80.56,click
271.00,40.00,276.82,40.94,308.45,59.52,337.07,88.07,367.88,131.01,373.71,161.11,359.72,203.28,329.25,220.17,277.08,223.22,267.00,210.17,290.18,156.37,318.10,118.20,357.91,67.81,379.10,42.65,399.99,17.01,click
76.00,100.00,80.35,98.66,117.33,96.00,184.04,113.16,219.09,138.09,250.21,196.23,257.00,263.39,250.23,303.84,222.15,340.79,186.52,341.14,165.61,315.22,158.43,252.72,197.91,181.33,248.97,138.69,317.48,105.63,click
155.00,98.00,164.06,99.21,188.36,109.38,236.89,138.13,269.37,167.41,296.87,209.34,306.00,275.26,297.89,309.40,270.15,327.74,214.48,331.75,187.40,316.40,180.00,284.49,211.49,206.25,255.00,147.46,298.37,107.37,click
124.00,95.00,131.84,94.43,156.39,93.93,210.64,121.74,239.10,160.04,266.28,244.66,266.22,295.87,255.50,335.24,211.06,358.00,181.02,349.02,160.00,285.29,172.91,232.24,209.56,178.92,279.84,115.83,322.03,90.09,click
167.00,98.00,172.32,100.49,194.61,118.41,222.51,151.76,245.57,196.94,257.63,237.77,250.72,276.56,230.09,307.91,200.27,324.24,171.61,320.80,156.61,297.70,162.57,257.31,196.50,205.12,249.16,145.58,300.49,98.14,click
157.00,104.00,159.07,104.00,190.47,120.04,215.85,145.80,233.40,186.54,238.00,233.67,228.56,276.05,206.52,309.92,192.10,319.56,165.62,319.57,154.13,289.68,168.67,235.71,211.28,176.56,263.86,121.12,303.11,87.24,click
136.00,80.00,143.40,80.00,166.65,85.88,217.99,115.32,247.22,146.35,266.79,192.37,273.00,261.24,257.45,297.82,228.89,319.62,183.05,315.89,170.48,281.19,175.54,228.95,221.98,143.36,259.06,98.66,289.48,66.52,click
143.00,117.00,151.22,116.00,194.95,133.56,242.01,179.52,259.98,225.92,267.00,299.41,257.52,338.85,222.58,366.87,191.65,362.41,163.71,313.79,168.72,264.81,212.88,183.25,250.89,140.02,302.14,95.11,322.86,79.57,click
120.00,118.00,122.63,117.18,135.50,118.00,192.82,146.52,235.38,178.38,272.46,243.98,275.05,287.68,240.90,346.09,201.48,366.51,157.01,353.44,155.00,308.08,193.80,219.11,238.05,164.48,307.50,104.91,339.35,81.77,click
157.00,91.00,167.50,91.50,211.58,122.15,242.67,159.97,258.77,213.64,264.00,265.97,258.60,313.73,236.83,344.12,182.40,355.00,153.47,340.63,145.00,297.53,167.05,241.83,221.25,174.74,277.86,115.14,323.90,73.53,click
